标题,导演,评分,出版时间,短句
['小鞋子'],马基德·马基迪,9.2,1997,
['沉默的羔羊'],乔纳森·戴米,8.9,1991,
['飞越疯人院'],米洛斯·福尔曼,9.1,1975,
['布达佩斯大饭店'],韦斯·安德森,8.9,2014,小清新的故事里注入了大历史的情怀。
['蝴蝶效应'],埃里克·布雷斯,8.9,2004,人的命运被自己瞬间的抉择改变。
['禁闭岛'],Martin,8.9,2010,昔日翩翩少年，今日大腹便便。
['致命魔术'],克里斯托弗·诺兰,8.9,2006,孪生蝙蝠侠大战克隆金刚狼。
['心灵捕手'],格斯·范·桑特,9.0,1997,
['低俗小说'],昆汀·塔伦蒂诺,8.9,1994,
['超脱'],托尼·凯耶,9.0,2011,穷尽一生，我们要学会的，不过是彼此拥抱。
['摩登时代'],查理·卓别林,9.3,1936,
['哈利·波特与密室'],Chris,8.9,2002,
['喜剧之王'],周星驰,8.8,1999,
['春光乍泄'],王家卫,9.0,1997,
['致命ID'],詹姆斯·曼高德,8.9,2003,
['杀人回忆'],奉俊昊,8.9,2003,
['海豚湾'],路易·西霍尤斯,9.3,2009,海豚的微笑，是世界上最高明的伪装。
['美国往事'],赛尔乔·莱翁内,9.1,1984,
['一一'],杨德昌,9.1,2000,
['加勒比海盗'],戈尔·维宾斯基,8.8,2003,
['红辣椒'],今敏,9.0,2006,梦的勾结。
['七宗罪'],大卫·芬奇,8.8,1995,
['唐伯虎点秋香'],李力持,8.7,1993,
['狩猎'],托马斯·温特伯格,9.1,2012,人言可畏。
['7号房的礼物'],李焕庆,8.9,2013,《我是山姆》的《美丽人生》。
['甜蜜蜜'],陈可辛,8.9,1996,
['蝙蝠侠：黑暗骑士崛起'],克里斯托弗·诺兰,8.9,2012,诺兰就是保证。
['被嫌弃的松子的一生'],中岛哲也,8.8,2006,以戏谑来戏谑戏谑。
['爱在黎明破晓前'],理查德·林克莱特,8.8,1995,
['超能陆战队'],唐·霍尔,8.8,2014,Balalala~~~
['寄生虫'],奉俊昊,8.8,2019,
['第六感'],M·奈特·沙马兰,8.9,1999,
['天书奇谭'],王树忱,9.2,1983(中国大陆),
['重庆森林'],王家卫,8.8,1994,
['爱在日落黄昏时'],理查德·林克莱特,8.9,2004,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
['幽灵公主'],宫崎骏,8.9,1997,
['入殓师'],泷田洋二郎,8.9,2008,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
['剪刀手爱德华'],蒂姆·波顿,8.7,1990,
['断背山'],李安,8.8,2005,每个人心中都有一座断背山。
['勇敢的心'],梅尔·吉布森,8.9,1995,
['菊次郎的夏天'],北野武,8.9,1999,
['未麻的部屋'],今敏,9.1,1997,
['借东西的小人阿莉埃蒂'],米林宏昌,8.9,2010,曾经的那段美好会沉淀为一辈子的记忆。
['哈利·波特与火焰杯'],迈克·内威尔,8.8,2005,
['茶馆'],谢添,9.6,1982(中国大陆),
['消失的爱人'],大卫·芬奇,8.7,2014,年度最佳date movie。
['时空恋旅人'],理查德·柯蒂斯,8.8,2013,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
['无人知晓'],是枝裕和,9.1,2004,我的平常生活就是他人的幸福。
['倩女幽魂'],程小东,8.8,1987,
['阳光灿烂的日子'],姜文,8.8,1994,
['完美的世界'],克林特·伊斯特伍德,9.1,1993,
['头脑特工队'],彼特·道格特,8.8,2015,愿我们都不用长大，每一座城堡都能永远存在。
['天使爱美丽'],让-皮埃尔·热内,8.7,2001,
